Organization Name,Phone,Address,City,Zip,County,Hours/Availability,Services/Notes
60th Street Baptist Church,727-557-4061,9309 60th St,Pinellas Park,,Pinellas,2nd and Last Friday 1-3pm,Food Giveaway
Abundant Life Ministries,727-210-5433,1550 Belcher Rd S,Clearwater,,Pinellas,Sat 7am-10am,Food Giveaway
Aldersgate UMC,727-392-9365 / 727-391-0218,9530 Starkey Rd,Seminole,,Pinellas,"Mon, Tues, Thurs 9:30am-1pm",Food Pantry
Beach Community Food Pantry (Calvary Episcopal Church),727-282-4085,1615 1st St,Indian Rocks Beach,,Pinellas,Wed 10am-12pm; Thurs 5pm-7pm,Food Pantry
Beaming Hope Food Pantry,727-521-7305,11000 110th Ave N,Largo,,Pinellas,,Food Pantry
Christ the King Lutheran Church,727-595-2117,11220 Oakhurst Rd,Largo,,Pinellas,Sat 2pm-4:30pm,"Food, veggies, fruit, bread, frozen meats"
Clearwater Community Church - Harriet's House,727-799-4444,2897 Belcher Rd,Dunedin,,Pinellas,Tues 9am-12pm,Food Pantry
Clearview UMC Emergency Food Pantry,727-522-4673,4515 38th Ave N,St. Petersburg,,Pinellas,Sat 9am-12pm,Food Pantry
Crossroads Christian Church,727-584-8601,1645 Seminole Blvd,Largo,,Pinellas,Wed 10am-1pm,Food Pantry
Daystar Life,727-825-0442,226 6th St S,St. Petersburg,,Pinellas,"M,T,Th,F 9am-3pm",Food Pantry; Other assistance
Dunedin Cares Food Pantry,727-410-8495,1630 Pinehurst Rd,Dunedin,,Pinellas,"M 5:30-7:30pm; T,Th,Sat 9:30am-12pm",Food Pantry
Feeding Tampa Bay,813-710-6269,6330 54th Ave N,St. Petersburg,,Pinellas,"T,Th,F 1:30pm-4:30pm",Food Distribution
Good Neighbors,727-314-1373 (text only),1676 S Belcher Rd,Clearwater,,Pinellas,Fri 11am-12pm,Community Grocery Giveaway
Good Samaritan Church,727-544-8558,6085 Park Blvd,Pinellas Park,,Pinellas,M & Th 9am-12pm,Food Pantry
Heart Society (Sacred Heart Church),727-544-5445,4661 82 Ave N,Pinellas Park,,Pinellas,T/Th 9am-11am,Food Pantry
HOB Giveback,,931 Huntley Ave,Dunedin,,Pinellas,Sat 11am,Food Giveaway
Hope Villages of America,727-443-4031,700 Druid Rd,Clearwater,,Pinellas,M-F 12:30pm-3:30pm; Thurs until 6:30pm,Food Pantry; Call for help
Northside Baptist Church,727-482-2128,6000 38th Ave N,St. Petersburg,,Pinellas,Wed 6pm-8pm; Fri 10am-12pm,Food Pantry
Northwest Presbyterian Church,727-544-4551,6330 54th Ave N,,,Pinellas,"Tues, Thurs, Fri 1:30pm-4:30pm",Operated by Feeding Tampa Bay; Trinity Cafe meals M-F 11:30am-12:30pm
Oak Ridge Wesleyan,727-393-9182,11000 110th Ave,Largo,,Pinellas,Wed & Sat 9am-12pm,Food Pantry
Operation Attack,727-822-1187,1310 22nd Ave S,St. Petersburg,,Pinellas,,"Food, Financial Assistance"
Operation Hope,727-822-2437,2901 54th Ave S,St. Petersburg,,Pinellas,,"Food, Financial, Clothing"
St. Giles Episcopal Church Pantry,727-545-2664,8271 52nd St N,Pinellas Park,,Pinellas,Thurs 9:30am-12:30pm,Drive-up Pantry
St. Jerome's Catholic Church,727-595-4610,10895 Hamlin Blvd,Largo,,Pinellas,Wed 8:30am-11:30am; Last Sat 9:30am-11:30am,Food Pantry
St. Paul UMC Open Arms Ministry,727-586-5380,2039 Druid Rd,Clearwater,,Pinellas,Mon-Wed 1pm-3pm,Food Pantry
St. Petersburg Free Clinic,727-823-3471,863 3rd Ave N,St. Petersburg,,Pinellas,M-W 8:30am-3pm; Th 8:30am-7pm,"Food, Utilities, Rent, Medical"
St. Vincent de Paul Society,727-825-0725,,,,Pinellas,,"Food, Financial, Shelter"
Salvation Army Food & Assistance,727-446-4177 / 727-882-4954 / 727-541-7781 / 727-323-2222,1521 E Druid Rd (Clearwater); 3800 9th Ave (St Petersburg),,,Pinellas,"M,T,Th,F 9am-11:45am & 1pm-3:30pm",Food & Assistance
Somebody Cares Tampa Bay,727-536-2273,21903 US Hwy 19 N,Clearwater,,Pinellas,Tues & Fri 2pm-5pm,Food Assistance
Solid Rock Ministries,727-521-6306,,,,Pinellas,,"Food, Clothing"
Sow A Seed Outreach Ministry,727-327-7273,,,,Pinellas,,"Food, Clothing"
Suncoast Haven of Rest Mission,727-545-8282,1763 9th Ave N,St. Petersburg,,Pinellas,M-F 10am-5pm; Sat 10am-1pm,Food Assistance
Sylvan Abbey UMC,727-796-3057,2817 Sunset Point Rd,Clearwater,,Pinellas,Mon 10am-1pm,Food Pantry
Wesley United Methodist Church,727-896-4797,301 37th Ave N,St. Petersburg,,Pinellas,MWF 9am-12pm,Food Pantry
5th Ave Mentoring and Outreach Services,,"4200 5th Ave S, St. Petersburg, FL 33711, USA",St. Petersburg,33711,Pinellas,,
ATO Outreach,,"1111 18th Avenue South, St. Petersburg, FL, USA",St. Petersburg,,Pinellas,,
